Time period and codes,"Housing, water, electricity, gas and other fuel",Actual rentals for housing,Actual rentals paid by tenants,Other actual rentals,Imputed rentals for housing,Imputed rentals for owner-occupiers,Other imputed rentals,Maintenance and repair of the dwelling,Materials,Services,Water and miscellaneous services,Water supply,Refuse collection,Sewerage collection,"Other services
[note 6]","Electricity, gas and other fuels",Electricity,Gas,Liquid fuels,Solid fuels,"Heat energy
[note 6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COICOP identifier code,04,04.1,04.1.1,04.1.2,04.2,04.2.1,04.2.2,04.3,04.3.1,04.3.2,04.4,04.4.1,04.4.2,04.4.3,04.4.4,04.5,04.5.1,04.5.2,04.5.3,04.5.4,04.5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDID identifier code,ADFS,ADFT,ADUX,ADUY,ADFU,CDDF,ADVB,ADFV,ATKH,AWTY,ADFW,ADVE,UUOX,ADVG,UUOY,ADFX,CDDL,ADVI,ADVJ,ADVK,ADVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997 Q1,"41,064","5,917","5,899",18,"28,605","27,678",927,308,126,182,"1,200",595,19,586, [x] ,"5,034","2,322","2,352",192,168, [x] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997 Q2,"39,496","6,023","6,004",19,"28,878","27,936",942,317,143,174,"1,260",622,19,619, [x] ,"3,018","1,702","1,081",96,139, [x] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997 Q3,"39,264","6,053","6,033",20,"29,072","28,113",959,300,138,162,"1,271",630,20,621, [x] ,"2,568","1,620",728,84,136, [x] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997 Q4,"41,305","6,072","6,052",20,"29,230","28,255",975,307,146,161,"1,280",637,20,623, [x] ,"4,416","2,169","1,925",149,173, [x] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998 Q1,"41,993","6,350","6,329",21,"29,489","28,505",984,324,152,172,"1,286",641,20,625, [x] ,"4,544","2,161","2,095",141,147, [x] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998 Q2,"40,967","6,450","6,429",21,"29,751","28,760",991,313,177,136,"1,355",671,21,663, [x] ,"3,098","1,672","1,198",88,140, [x] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998 Q3,"40,684","6,499","6,478",21,"30,060","29,055","1,005",286,166,120,"1,336",666,20,650, [x] ,"2,503","1,586",713,76,128, [x] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998 Q4,"42,999","6,579","6,557",22,"30,580","29,557","1,023",298,157,141,"1,313",660,19,634, [x] ,"4,229","2,141","1,789",119,180, [x] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999 Q1,"43,524","6,489","6,467",22,"30,896","29,838","1,058",326,158,168,"1,270",646,19,605, [x] ,"4,543","2,106","2,141",127,169, [x] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999 Q2,"42,428","6,464","6,441",23,"31,478","30,394","1,084",312,172,140,"1,290",659,17,614, [x] ,"2,884","1,604","1,067",79,134, [x] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999 Q3,"42,390","6,537","6,513",24,"31,909","30,801","1,108",325,161,164,"1,281",652,16,613, [x] ,"2,338","1,566",583,67,122, [x] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999 Q4,"44,678","6,644","6,620",24,"32,241","31,122","1,119",331,161,170,"1,304",656,17,631, [x] ,"4,158","2,052","1,829",137,140, [x] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000 Q1,"45,619","6,730","6,706",24,"32,353","31,223","1,130",339,165,174,"1,345",644,16,685, [x] ,"4,852","2,198","2,343",184,127, [x] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000 Q2,"43,967","6,894","6,870",24,"32,371","31,243","1,128",365,192,173,"1,233",608,18,607, [x] ,"3,104","1,668","1,197",127,112, [x] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000 Q3,"43,632","6,987","6,964",23,"32,601","31,475","1,126",334,177,157,"1,242",606,21,615, [x] ,"2,468","1,579",656,129,104, [x] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000 Q4,"46,084","7,013","6,990",23,"32,999","31,874","1,125",384,178,206,"1,243",601,27,615, [x] ,"4,445","2,071","1,995",234,145, [x] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001 Q1,"47,031","7,042","7,019",23,"33,472","32,332","1,140",389,183,206,"1,246",604,34,608, [x] ,"4,882","2,111","2,382",218,171, [x] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001 Q2,"45,630","6,997","6,974",23,"33,856","32,699","1,157",420,221,199,"1,299",626,37,636, [x] ,"3,058","1,596","1,199",120,143, [x] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
