Time period and codes,"Furnishing, household equipment and routine HH maintenance","Furniture and furnishings, carpets and other floor coverings",Furniture and furnishings,Carpets and other floor coverings,"Repair of furniture, furnishings and floor coverings",Household textiles,Household appliances,Major appliances whether electrical or not,Small electric household appliances,Repair of household appliances,"Glassware, tableware and household utensils",Tools and equipment for house and garden,Major tools and equipment,Small tools and equipment,Goods and services for routine household maintenance,Non-durable household goods,Domestic and household services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COICOP identifier code,05,05.1,05.1.1,05.1.2,05.1.3,05.2,05.3,05.3.1,05.3.2,05.3.3,05.4,05.5,05.5.1,05.5.2,05.6,05.6.1,05.6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDID identifier code,ADFY,ADFZ,ADVM,ADVN,ADVO,ADGG,ADGL,ADVP,ADVQ,ADVR,ADGM,ADGN,ADVS,ADVT,ADGO,ADVU,ADVV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997 Q1,"8,072","3,365","2,444",914,7,848,"1,330","1,051",164,115,717,596,79,517,"1,216",672,544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997 Q2,"7,663","3,025","2,312",706,7,812,"1,180",982,154,44,721,680,77,603,"1,245",731,514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997 Q3,"7,650","2,952","2,293",651,8,815,"1,237",981,148,108,733,662,81,581,"1,251",732,519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997 Q4,"9,174","3,535","2,745",782,8,"1,003","1,660","1,359",209,92,958,716,82,634,"1,302",768,534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998 Q1,"8,165","3,164","2,459",696,9,888,"1,310","1,050",167,93,817,701,82,619,"1,285",741,544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998 Q2,"8,324","3,277","2,509",761,7,882,"1,179",980,153,46,879,813,87,726,"1,294",765,529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998 Q3,"8,665","3,435","2,604",822,9,915,"1,299","1,028",154,117,921,761,89,672,"1,334",784,550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998 Q4,"9,966","3,910","2,996",904,10,"1,049","1,747","1,420",223,104,"1,143",763,88,675,"1,354",792,562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999 Q1,"8,622","3,423","2,629",784,10,878,"1,303","1,045",171,87,929,760,97,663,"1,329",795,534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999 Q2,"8,538","3,385","2,629",746,10,852,"1,162",938,149,75,956,820,95,725,"1,363",812,551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999 Q3,"8,858","3,510","2,742",758,10,894,"1,295",995,151,149,967,767,97,670,"1,425",841,584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999 Q4,"10,288","4,076","3,236",829,11,"1,104","1,694","1,385",220,89,"1,187",759,93,666,"1,468",838,630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000 Q1,"9,102","3,606","2,821",774,11,889,"1,414","1,142",179,93,"1,030",733,100,633,"1,430",816,614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000 Q2,"9,053","3,536","2,740",785,11,883,"1,297","1,054",158,85,"1,033",825,97,728,"1,479",833,646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000 Q3,"9,309","3,664","2,851",801,12,926,"1,396","1,091",160,145,"1,024",737,97,640,"1,562",883,679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000 Q4,"10,786","4,296","3,405",877,14,"1,148","1,729","1,417",221,91,"1,287",748,87,661,"1,578",871,707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
